run_id,pre_strategy,post_strategy,query_id,route_taken,retrieval_skipped,s_pop,pop_bucket,em,f1,ttft_ms,total_latency_ms,retrieval_calls,prompt_tokens_estimate,context_chars,entropy,adaptive_tau,skewness,kurtosis,dispersion,gold_in_top_k,answer_raw,answer_extracted
1,Always_Retrieve,Always_FAISS,4018345,vector,False,44.0,low,0.000000,0.666667,3942.127,8110.026,1,495,683,,2.987995,,,,True,Catholic,Catholic
1,Always_Retrieve,Always_FAISS,6385894,vector,False,1149.0,high,0.000000,0.000000,1333.728,4017.842,1,509,750,,2.212311,,,,True,No answer found,No answer found
1,Always_Retrieve,Always_FAISS,248527,vector,False,26562.0,high,1.000000,1.000000,3206.626,6430.580,1,637,1259,,1.484986,,,,True,Delhi,Delhi
1,Always_Retrieve,Always_FAISS,238284,vector,False,5308.0,high,1.000000,1.000000,1361.783,6820.017,1,647,1304,,1.815770,,,,True,Ernest Hemingway,Ernest Hemingway
1,Always_Retrieve,Always_FAISS,325841,vector,False,293.0,medium,0.000000,0.000000,6417.122,6427.994,1,558,942,,2.575533,,,,True,Unknown,Unknown
1,Always_Retrieve,Always_FAISS,288201,vector,False,17011.0,high,0.000000,0.000000,2901.816,8716.410,1,677,1423,,1.565134,,,,True,No answer found,No answer found
1,Always_Retrieve,Always_FAISS,5696,vector,False,57.0,low,1.000000,1.000000,8534.397,8548.110,1,672,1402,,2.940703,,,,True,France,France
1,Always_Retrieve,Always_FAISS,5024215,vector,False,105.0,medium,1.000000,1.000000,2099.816,6314.881,1,526,805,,2.817180,,,,True,Ben Jonson,Ben Jonson
1,Always_Retrieve,Always_FAISS,2827342,vector,False,63.0,low,1.000000,1.000000,1496.200,4503.934,1,464,557,,2.921605,,,,True,Troubadour,Troubadour
1,Always_Retrieve,Always_FAISS,279281,vector,False,1911.0,high,1.000000,1.000000,3470.616,6955.540,1,594,1087,,2.075362,,,,True,Paul McCartney,Paul McCartney
1,Always_Retrieve,Always_FAISS,5699583,vector,False,92.0,low,1.000000,1.000000,4615.143,4627.437,1,459,548,,2.845296,,,,True,Football,Football
